fold,gamma,theta_fmom_1m,theta_fmom_12_2,theta_fmom_12m,theta_fvol_12m,theta_post_pub,theta_years_since_pub
15,0.9678892208931007,0.12070407598322525,-0.13641556672764435,0.4671459282987974,-0.18886691272897407,0.04245521047658335,0.04441230578477557
16,0.9677433366142547,0.11124348994104392,-0.14531522287466841,0.48069032939046624,-0.1813967603787954,0.039760657643492854,0.04159353977153307
17,0.9690375704091886,0.13372050986552994,-0.09618830156416956,0.482409910018318,-0.1874664538309573,0.04897850956857176,0.051236315152453395
18,0.9680545626209022,0.13461893058415758,-0.09202079304964444,0.4839159381014256,-0.1732633717540754,0.056781724617797444,0.05939924189289961
19,0.9666744597533757,0.04671580203386635,0.003494287354920034,0.21266578566292252,-0.05220438274517821,0.3423709412259166,0.3425488009771962
20,0.9642885126236324,0.05590710783210254,-0.017750008761083434,0.18682930218733607,-0.04566775631466915,0.34679899720765095,0.3470468276971579
21,0.9636856150915648,0.05845229076469072,-0.021697785595552892,0.180433036911454,-0.04916043188358061,0.3448703303411239,0.3453861245035978
22,0.9641467298016082,0.027252185594672417,-0.007125309140042381,0.08183986831190392,-0.022037668473464236,0.4308705785412806,0.43087438993863636
23,0.963830333225436,0.055823680777732226,-0.01596451212109245,0.18173990838371049,-0.03874006165569622,0.35361675865513925,0.35411507840662937
24,0.9600958585716247,0.1188732597613981,0.03215433832004042,0.27630913540101143,-0.03323072345166036,0.26915972931081195,0.2702728137550778
25,0.9616402768359181,0.12658388690800726,0.04023775189475687,0.29472739441251916,-0.03941646889965163,0.24871726436649474,0.2503172335185704
26,0.9634254414819227,0.11387764646521767,0.06201647461036132,0.2233273086136926,-0.03847971051244995,0.2809584863819958,0.2813403734162826
27,0.9639083498549477,0.13120336822948583,0.08548423360284951,0.23820508271622295,-0.03883281940519405,0.25281697301786427,0.2534575230283832
28,0.9479579825888731,0.13242682980559314,0.11905760519603276,0.4610397961228271,0.11932955590895429,0.08281175825397415,0.08533445471261851
29,0.9619676207220883,0.18299507613172583,0.16944179736248,0.23444264096256764,-0.053161206123782584,0.17898518316376744,0.18097409625567656
30,0.9638014620008158,0.23308360814050538,0.2909513494440568,0.11810563064302468,-0.04970261102884169,0.15317084899604527,0.15498595174752605
31,0.9652576282004555,0.23344389848818042,0.2945419574984122,0.11727881296707017,-0.04954804099942305,0.15170657757015207,0.1534807124767621
32,0.9662553116913961,0.23207125907580423,0.2940402290769909,0.11492301085978193,-0.049571469033032715,0.1438964199620171,0.16549761199237314
33,0.9661906275944997,0.08160101246952602,0.10104392206312716,0.03778344387992433,-0.01310049557155315,0.43887747312676567,-0.32759365288910375
34,0.9634812644841391,0.056474685650434335,0.08483233114868563,0.05105083742063077,-0.0032572797666299176,0.45112255124403167,-0.35326231476958775
35,0.9627715336334556,0.16063878528477282,0.22149609091696038,0.11303767766513355,-0.012427671206487776,0.37331310031736464,-0.11908667460928092
36,0.9665895714199492,0.13645046985640807,0.192192641112322,0.11090787970747475,-0.01050804190125948,0.39690096517895823,-0.15304000224357753
37,0.9671485435527528,0.2031796911905091,0.26806062756365245,0.15841275975230984,-0.046808932665850254,0.12939476162228553,0.19414322720539287
38,0.9210672562288172,0.0919296361052445,0.1573305384342543,0.09181745621945754,0.15054110757424247,-0.08975783303732214,0.41862342862947904
39,0.9320068006762497,0.00021612855684479727,0.04460395436473351,0.023465415959933372,0.05751760335107173,-0.40708822657591603,0.46710867119150057
40,0.9086468041749578,0.015481143116149607,0.04697754133472779,0.030975963078162163,0.05023018744847022,-0.38900574299250745,0.46732942202998273
41,0.9272214555868024,0.0024802024714363907,0.04423644218610857,0.0327098463162122,0.047457104201618895,-0.39605122962297634,0.47706517520164765
42,0.9304668155104788,0.02275161995902769,0.04239699023059197,0.03730027756700125,0.025638087666876832,-0.3915607126315237,0.48035231194497857
43,0.9138688939478677,0.04523284911183252,0.05211615166150976,0.05564168864761783,0.0003312030266188272,-0.3633412989559769,0.4833368085964442
44,0.9264173783066253,0.020492621670383043,0.043695728367544,0.032385320104598304,0.040045940618479686,-0.3852693683562736,0.47811102088272134
45,0.9280535053782094,0.03741672960883274,0.05338531741030113,0.04778794595004922,0.00678603698262821,-0.36500087563531464,0.48962309441287405
46,0.926797155175002,0.03209018897034234,0.040819916940576476,0.03177335704311411,0.02852500574309155,-0.38562744080494454,0.48116409049793096
47,0.954494089258273,0.18241748767707505,0.18497729259758697,0.19202630282948774,-0.05005351681675297,0.32740680862004345,0.06311859145905374
48,0.95005028554188,0.2015063676840819,0.22172447246935414,0.15449329541755588,-0.06760139511486542,0.14795468512692472,0.206719784187218
49,0.9502266151957856,0.198104740119272,0.2224665899093391,0.1633672021777125,-0.06357951175453473,0.14022191019317193,0.21226004584596958
50,0.9525895599609705,0.15805231763384783,0.16342009448746408,0.18239803658160145,-0.03486340768452733,0.4116995446401373,-0.04956659897242196
51,0.9508802852774851,0.16812694291537314,0.17594883630553024,0.19715838702131216,-0.036034173736536605,0.40701833707849605,-0.015713322942751975
52,0.9514941373275698,0.1579196428558434,0.15860508803084405,0.23492044599254533,-0.04950565681726943,0.10737404198706757,0.29167512431643017
53,0.949150270626398,0.1304930457531659,0.16904206855362042,0.102083082312143,-0.013249021730272039,0.4364218946570352,-0.14871088699376336
54,0.954324070180146,0.13906517830735182,0.17093296386830975,0.09053496761937442,-0.021173638697880155,0.4146450230891583,-0.16364822841792556
55,0.9520569890708462,0.10942851954911927,0.11258420369666845,0.12597997244876144,-0.02886440371071206,0.4361960419679583,-0.18694685862678068
56,0.9524708808762175,0.1060991858829423,0.11386447524409572,0.12635877324937875,-0.027145984883451258,0.436428831578751,-0.19010274916138084
57,0.953395616626151,0.1047420004582405,0.11271420284022281,0.1257046422681619,-0.027890683918582064,0.43827240886260443,-0.19067606165218828
58,0.9550069595413715,0.0985159093317478,0.10117367776427241,0.11385480244982392,-0.02780294520828983,0.4443633819548503,-0.21428928329101568
59,0.9563689637767571,0.1384038760184056,0.16060764544307504,0.08590881037737004,-0.030140755607759064,0.4152788260385467,-0.16966008651484354
60,0.962414798169706,0.13181597860022082,0.1624794118926352,0.08620547652932395,-0.020976217838150013,0.42117236741857716,-0.17735054772109282
61,0.96394363705481,0.15302822789136683,0.1934852023865022,0.06988937613092316,-0.004876508423234356,0.42042508357455893,-0.15829560159341438
