,fmom_1m,fmom_12_2,fmom_12m,fvol_12m,post_pub,years_since_pub
1940-07-31,0.0220652580765942,-0.021290521757707515,0.007039462842787103,0.008929398280713456,0.0,0.0
1940-08-31,0.03778045548097312,-0.02059023578371988,0.006837169328509257,0.00866129310826838,0.0,0.0
1940-09-30,-0.08369709320441221,-0.019859064622952227,0.006217847314934706,0.008398657564718526,0.0,0.0
1940-10-31,-0.03965250100070761,-0.019242501190248056,0.006019710997717973,0.008146616237960952,0.0,0.0
1940-11-30,-0.038462580485261924,-0.018598309810514062,0.005876111877838957,0.007902308361715083,0.0,0.0
1940-12-31,-0.03730876720487259,-0.01805998342806649,0.005673388601037292,0.01831575128153266,0.0,0.0
1941-01-31,-0.03617851060414823,-0.015874811535807453,-0.014391075264619482,0.017764130441661797,0.0,0.0
1941-02-28,-0.0350902567942703,-0.015155079734006208,-0.013933872193120991,0.01722836750909732,0.0,0.0
1941-03-31,-0.03403681864277521,-0.014631178172100752,-0.013502181871151129,0.016711673521916423,0.0,0.0
1941-04-30,-0.033005304133534544,-0.01400838604950777,-0.013049747955587805,0.016209300244623102,0.0,0.0
1941-05-31,-0.03199618609690315,-0.01306559268671216,-0.012470138234102725,-0.017973454805565666,0.0,0.0
1941-06-30,-0.03103552355385418,-0.012625875304864028,-0.012074120802812224,-0.0174342630393691,0.0,0.0
1941-07-31,-0.030103087372845,-0.012172564210144201,-0.011675095907704264,-0.016911037300640187,0.0,0.0
1941-08-31,-0.029188495643356016,-0.011806146626408377,-0.011330316257050091,-0.016403187056760173,0.0,0.0
1941-09-30,-0.028312566410494084,-0.011436404525189183,-0.010980809956601723,-0.003335632836213527,0.0,0.0
1941-10-31,-0.02746109903212632,-0.011061340352636204,-0.010630429715446227,-0.0032354590857581376,0.0,0.0
1941-11-30,-0.02662857546386181,-0.010870510890099433,-0.01041518609265629,-0.0031378886823347587,0.0,0.0
1941-12-31,-0.025829719989332128,-0.0105362717451948,0.21000045810392975,-0.0030437596539987,0.0,0.0
1942-01-31,-0.025051784149464892,-0.010061632224600709,0.20338546543458821,-0.002952371040232355,0.0,0.0
1942-02-28,-0.024299497821824872,-0.009726752766356383,0.19719396973320324,-0.0028638063718414834,0.0,0.0
1942-03-31,-0.023417032005096476,-0.002262386355411659,0.16866262718802283,-0.0027730312261811047,0.0,0.0
1942-04-30,-0.0565110453918877,-0.0022700419132901093,0.1632995821316632,-0.002689546506903203,0.0,0.0
1942-05-31,0.0014157542497994849,-0.0022404429300959825,0.1559099192428995,-0.002608316150101408,0.0,0.0
1942-06-30,0.001373243319082932,-0.002154291157229061,0.15094602864153214,-0.0025300826418295968,0.0,0.0
1942-07-31,0.0013319597400926946,-0.002254445909093864,0.14397808280119392,-0.0024547515656367803,0.0,0.0
1942-08-31,0.0012938189862354073,-0.0013831687523323045,0.13414992543967347,-0.002381965429007815,0.0,0.0
1942-09-30,0.0012549465829868724,-0.001348819018357654,0.13009101070855744,-0.023860023942814085,0.0,0.0
1942-10-31,0.0012173723984451274,-0.0012649116485865758,0.12474055680558538,-0.023143299158151637,0.0,0.0
1942-11-30,0.006130771649221344,-0.004047182092159438,0.08271961357551522,-0.02240077380390734,0.0,0.0
1942-12-31,0.005946834626523738,-0.003920441169097413,0.08023338909913597,-0.02172876033040695,0.0,0.0
1943-01-31,0.005768899530420515,-0.003826181892415376,0.07784777809291747,-0.0210767531906013,0.0,0.0
1943-02-28,0.005596764068536063,-0.003013640062637664,0.07521500668658458,-0.020445214214120214,0.0,0.0
1943-03-31,0.005430400352943835,-0.002740100723669543,0.0729334680348626,-0.01983137578677135,0.0,0.0
1943-04-30,0.005267964302867565,-0.002594951619913677,0.07073084609619351,-0.00843568184160502,0.0,0.0
1943-05-31,0.0050988206909369045,-0.0032202249274719107,0.06420290165366656,0.00029117312959408073,0.0,0.0
1943-06-30,0.004946501515157708,-0.0031850035608544562,0.062099522699910904,0.002601940254035923,0.0,0.0
1943-07-31,0.004805523537158072,-0.003770364476655132,0.05639490120505472,0.01981512999557749,0.0,0.0
1943-08-31,0.00465924524664649,-0.0035019319697161383,0.054456881641203665,0.006512408705194001,0.0,0.0
1943-09-30,0.00451891427632882,-0.00336914114774605,0.05233864141886538,-0.006156384029750718,0.0,0.0
1943-10-31,0.004375858849404569,-0.004288428618896735,0.048780656894128104,-0.005971362155676411,0.0,0.0
1943-11-30,0.0042312203886070805,-0.003269026598130386,0.04722052012317036,-0.03830464315065761,0.0,0.0
1943-12-31,0.004105299988623537,-0.0030752131531425505,0.045693230313988364,-0.03561315671580718,0.0,0.0
1944-01-31,0.003983326214386958,-0.0028205549889693637,0.043856833765840875,-0.02475111735807381,0.0,0.0
1944-02-29,0.0038656657237807353,-0.002568742018222277,0.04238917032974089,-0.024008413369080193,0.0,0.0
1944-03-31,0.0037473965586966498,-0.0025679466609760094,0.04055455403331164,0.012341374909634668,0.0,0.0
1944-04-30,0.0036314990084039536,-0.002396849994001052,0.039150690378163495,0.011971032958884086,0.0,0.0
1944-05-31,0.003525084050807291,-0.0023756506915668706,0.037994767277044546,0.011611835256178387,0.0,0.0
1944-06-30,0.0034190169087148278,-0.0022731983346999914,0.03651780674134765,0.01621016680574796,0.0,0.0
1944-07-31,0.006465554204717405,-0.0014285448895574233,0.03423575934248591,0.015722869314142806,0.0,0.0
1944-08-31,0.006271316035893867,-0.0013996986499710486,0.03244720055114377,0.015250948813773174,0.0,0.0
1944-09-30,0.00881561880068966,-0.0014526944263044763,0.027964045978504815,0.014791995500207109,0.0,0.0
1944-10-31,-0.010861242245642912,-0.0013772859541140664,0.02664116743258136,0.014347890629125214,0.0,0.0
1944-11-30,-0.015314526562612018,-0.0010631799549615354,0.025708051593649174,0.013916739585754881,0.0,0.0
1944-12-31,-0.014854471729134724,-0.000840088745502282,0.02487434643459121,0.026890933004113104,0.0,0.0
1945-01-31,-0.014377282537571428,0.0038055649118548854,0.02323937908295875,0.02607275732229414,0.0,0.0
1945-02-28,-0.013946256777112604,0.0034518476168335192,0.022066327402924933,0.02529049365298097,0.0,0.0
1945-03-31,-0.013527776219887247,0.003351508072709961,0.021375958047124635,0.024531712777429267,0.0,0.0
1945-04-30,-0.017442642750931114,0.015621586070123778,0.015934961592363274,0.020793474858681257,0.0,0.0
1945-05-31,-0.016919281717830574,0.01515446264622095,0.01545856920241764,0.02016958868176863,0.0,0.0
1945-06-30,-0.0429167321686286,0.014642216557231082,0.014929270275099625,0.019564164265314436,0.0,0.0
1945-07-31,0.0037273619857619497,0.014060527399943783,0.014318974977361829,0.01897653807388544,0.0,0.0
1945-08-31,0.00361535236083149,0.013613407387065216,0.01385993067511851,0.018406714928283784,0.0,0.0
1945-09-30,0.0035072973272573965,0.013210954542633624,0.013449654588033043,0.017853727716666604,0.0,0.0
1945-10-31,0.0034028000663202896,0.012852115937575792,0.01308753605265371,0.017317394005815296,0.0,0.0
1945-11-30,0.0033011047455814586,0.012425463891001604,0.012646505713011071,0.005756013379314898,0.0,0.0
1945-12-31,0.00320223508802538,0.012056706587870832,0.012271390033315751,-0.002460722691242298,0.0,0.0
1946-01-31,0.0021807565407176866,-0.0014059186745765846,-0.001750585685354378,-0.0023014005571025315,0.0,0.0
1946-02-28,0.002064882655802058,-0.0022652046693905693,-0.0026408489869775634,-0.0022369287536833584,0.0,0.0
1946-03-31,0.02712411916866815,-0.0021632582064454054,-0.002524278676867806,-0.0021699371782962014,0.0,0.0
1946-04-30,0.026308762228224532,-0.002071097979767988,-0.002415573963034671,-0.002104811778911539,0.0,0.0
1946-05-31,0.039046982432869644,-0.002611792604532594,-0.002982112555102617,-0.002038322114718222,0.0,0.0
1946-06-30,0.03787448394015437,-0.0026648598431019935,-0.003034562714132761,-0.0019772327252511137,0.0,0.0
1946-07-31,0.036705404639457366,-0.002582323015304326,-0.0028866156977088763,-0.0019183037155237768,0.0,0.0
1946-08-31,0.03560406025016268,-0.002519021396771133,-0.0028152337650139267,-0.0018608159589565308,0.0,0.0
1946-09-30,0.034318161719454794,-0.00293379702305711,-0.003126189089403308,-0.007989379373084464,0.0,0.0
1946-10-31,-0.01158572158680219,-0.0028195751217340763,-0.0030032022050849004,-0.007749677789704887,0.0,0.0
1946-11-30,-0.011237892725996625,-0.0026030145796187825,-0.0027674281421214623,-0.007516956968645242,0.0,0.0
1946-12-31,-0.010901015568220122,-0.002587091968061094,-0.00275178512680731,-0.012719520815124513,0.0,0.0
1947-01-31,-0.010568313208428404,-0.0022264053362639766,-0.0020426766238488886,-0.012337509141572407,0.0,0.0
1947-02-28,-0.01025017901713356,-0.001838601678135039,-0.0019498258219877132,-0.011966676515739995,0.0,0.0
1947-03-31,-0.009941501563237382,-0.0017933854791106327,-0.0019021630132159404,-0.011607452070969339,0.0,0.0
1947-04-30,-0.009642254300896526,-0.0016775005367920082,-0.0016847380065695724,-0.011259060088999124,0.0,0.0
1947-05-31,-0.009314797586616467,-0.00031349395548836375,-0.00019657142132474136,-0.02156040169672533,0.0,0.0
1947-06-30,-0.009029747841333063,-0.0004919843076441586,-0.0003987866525338586,-0.020913546051596062,0.0,0.0
1947-07-31,-0.008758963895346231,-0.0004480215586685049,-0.00035516513210515164,-0.020286022615964332,0.0,0.0
1947-08-31,-0.008039458317608683,-0.004902409607425195,-0.004972764230590985,-0.019600037983127025,0.0,0.0
1947-09-30,-0.0077942218684086415,-0.004779697035657661,-0.004849171901048906,0.0011946153908276198,0.0,0.0
1947-10-31,-0.007560095651333674,-0.004635284581207161,-0.004702544934418164,0.00737498900559799,0.0,0.0
1947-11-30,-0.007328822845206186,-0.004490794692692754,-0.004555355350109894,0.0071538944074562485,0.0,0.0
